sampleID	plotID	name	day	month	year	time	weather	air_temp_c	notes	plot_name	rep	pseudorep	MMPRNT_ID	plant	treatment	time_zone	longitude	latitude	altitude	location	country	soil_name	number_cores	SPNL_date	pH	lime_index	P_ppm	K_ppm	Ca_ppm	Mg_ppm	organic_matter	NO3N_ppm	NH4_ppm	soil_moisture_percent	soil_temp_10cm	plant_name	LDMC_mg_per_g	nitrogen_percent	carbon_percent	carbon_per_nitrogen	height_mean_cm	mass_per_leaf_g	nucleic_acid_name	date_of_extraction	nucleic_acid_type	replicate_extraction	source	source_mass	extraction_method	elution_vol_ul	concentration_ng_per_ul	ratio_260_280	conc_ng_per_g_source	extracted_by	sequence_name	sequencing_date	conc_sent_ng_per_ul	sequencing_type	sequencing_facility	primers	submitted_for_sequencing	sequencing_successful	duplicate_submitted	dup_sequencing_name	exclude_from_analysis	itemID_JGI	sampleID_JGI	barcode	JGI_library	HPCC_path	JGI_taxonOID	JGI_rawdataname	sampling_date	time_numeric	date	precipitation	Air_temp_mean	air_temp_max	Air_Temp_Min	Air_Pressure	RH	AH	Wind_Speed_Mean	Wind_Direction_Mean	Solar_Radiation	PAR	soil_temp_5_cm_bare_avg	soil_temp_5_cm_sod_avg	Year	X	X.1	X.2	X.3
41	1	G5R1_MAIN_31MAY2016	31	5	2016	11:42	hazy	25.5	soil/air temp and time data are per-plot	G5R1_MAIN	1	NA	NA	switchgrass	standard fertilization	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R1_MAIN_31MAY2016	6	2017-03-18	6.7	72	43	81	875	112	2.3	3.7	7.1	6.8	24	G5R1_MAIN_31MAY2016	252	2.4779	45.1044	18.2	58	0.694	G5R1_MAIN_31MAY2016_LR1	1/17/17	RNA	1	phyllosphere	11.72	Benzyl Chloride 	20	114.93	2.10	196.1	KL Grady	G5R1_MAIN_31MAY2016_LR1_MT		40	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	Y	G5R1_MAIN_31MAY2016_LR1_MT_pilot	N	0	0			/mnt/research/ShadeLab/Sequence/raw_sequence/GLBRC/metatranscriptomes		NA	2016-05-31	1464667200	31.05.16	0	20.7	27.6	11.5	983	58.33	1.3	2.08	69	297.63	411.51	24.7	18.9	2016	NA	NA	NA	NA
42	2	G5R2_MAIN_31MAY2016	31	5	2016	13:26	hazy	25.6	soil/air temp and time data are per-plot	G5R2_MAIN	2	NA	NA	switchgrass	standard fertilization	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R2_MAIN_31MAY2016	6	2017-03-18	6.6	71	18	61	834	105	2	4	6.3	8.6	22	G5R2_MAIN_31MAY2016	245	2.4658	45.4308	18.42	58	0.504	G5R2_MAIN_31MAY2016_LR1	5/4/17	RNA	1	phyllosphere	6.59	Benzyl Chloride 	30	260.01	2.08	1183.7	KL Grady	G5R2_MAIN_31MAY2016_LR1_MT		40	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	0			/mnt/research/ShadeLab/Sequence/raw_sequence/GLBRC/metatranscriptomes		NA	2016-05-31	1464667200	31.05.16	0	20.7	27.6	11.5	983	58.33	1.3	2.08	69	297.63	411.51	24.7	18.9	2016	NA	NA	NA	NA
43	3	G5R3_MAIN_31MAY2016	31	5	2016	14:13	hazy	27.2	soil/air temp and time data are per-plot	G5R3_MAIN	3	NA	NA	switchgrass	standard fertilization	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R3_MAIN_31MAY2016	6	2017-03-18	6.5	72	16	68	1091	118	2.6	6.2	4.5	9.6	22	G5R3_MAIN_31MAY2016	236	2.5851	45.2263	17.49	58	0.55	G5R3_MAIN_31MAY2016_LR1	5/4/17	RNA	1	phyllosphere	11.17	Benzyl Chloride 	30	305.97	2.11	821.8	KL Grady	G5R3_MAIN_31MAY2016_LR1_MT		40	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	0			/mnt/research/ShadeLab/Sequence/raw_sequence/GLBRC/metatranscriptomes		NA	2016-05-31	1464667200	31.05.16	0	20.7	27.6	11.5	983	58.33	1.3	2.08	69	297.63	411.51	24.7	18.9	2016	NA	NA	NA	NA
44	4	G5R4_MAIN_31MAY2016	31	5	2016	12:37	hazy	30.1	soil/air temp and time data are per-plot	G5R4_MAIN	4	NA	NA	switchgrass	standard fertilization	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R4_MAIN_31MAY2016	6	2017-03-18	6.6	71	37	127	894	129	2.3	6	3.6	8.3	22.5	G5R4_MAIN_31MAY2016	234	2.4482	45.1259	18.43	58	0.659	G5R4_MAIN_31MAY2016_LR1	5/4/17	RNA	1	phyllosphere	8.63	Benzyl Chloride 	30	206.52	2.24	717.9	KL Grady	G5R4_MAIN_31MAY2016_LR1_MT		40	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	0			/mnt/research/ShadeLab/Sequence/raw_sequence/GLBRC/metatranscriptomes		NA	2016-05-31	1464667200	31.05.16	0	20.7	27.6	11.5	983	58.33	1.3	2.08	69	297.63	411.51	24.7	18.9	2016	NA	NA	NA	NA
45	6	G5R1_NF_31MAY2016	31	5	2016	11:42	hazy	25.5	soil/air temp and time data are per-plot	G5R1_NF	1	NA	NA	switchgrass	nitrogen free	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R1_NF_31MAY2016	6	2017-03-18	6.7	73	23	64	903	104	2.4	2.6	6.6	11.1	24	G5R1_NF_31MAY2016	255	2.2266	45.1101	20.26	58	2.809	G5R1_NF_31MAY2016_LR2	6/29/17	RNA	2	phyllosphere	8.9	Benzyl Chloride 	35	608.23	2.19	2391.9	KL Grady	G5R1_NF_31MAY2016_LR2_MT		40	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	0			/mnt/research/ShadeLab/Sequence/raw_sequence/GLBRC/metatranscriptomes		NA	2016-05-31	1464667200	31.05.16	0	20.7	27.6	11.5	983	58.33	1.3	2.08	69	297.63	411.51	24.7	18.9	2016	NA	NA	NA	NA
47	8	G5R3_NF_31MAY2016	31	5	2016	14:13	hazy	27.2	soil/air temp and time data are per-plot	G5R3_NF	3	NA	NA	switchgrass	nitrogen free	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R3_NF_31MAY2016	6	2017-03-18	6.5	71	20	87	973	107	2.7	2.6	5	12.6	22	G5R3_NF_31MAY2016	229	2.9671	44.7661	15.09	58	2.834	G5R3_NF_31MAY2016_LR2	6/14/17	RNA	2	phyllosphere	7.86	Benzyl Chloride 	30	1076.55	2.14	4109	KL Grady	G5R3_NF_31MAY2016_LR2_MT		40	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	0			/mnt/research/ShadeLab/Sequence/raw_sequence/GLBRC/metatranscriptomes		NA	2016-05-31	1464667200	31.05.16	0	20.7	27.6	11.5	983	58.33	1.3	2.08	69	297.63	411.51	24.7	18.9	2016	NA	NA	NA	NA
48	9	G5R4_NF_31MAY2016	31	5	2016	12:37	hazy	30.1	soil/air temp and time data are per-plot	G5R4_NF	4	NA	NA	switchgrass	nitrogen free	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R4_NF_31MAY2016	6	2017-03-18	6.7	72	32	90	814	107	2.2	2	4.5	9.3	22.5	G5R4_NF_31MAY2016	238	1.5377	44.4911	28.93	58	3.14	G5R4_NF_31MAY2016_LR3	6/29/17	RNA	3	phyllosphere	8.14	Benzyl Chloride 	35	348.67	2.13	1499.2	KL Grady	G5R4_NF_31MAY2016_LR3_MT		40	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	0			/mnt/research/ShadeLab/Sequence/raw_sequence/GLBRC/metatranscriptomes		NA	2016-05-31	1464667200	31.05.16	0	20.7	27.6	11.5	983	58.33	1.3	2.08	69	297.63	411.51	24.7	18.9	2016	NA	NA	NA	NA
73	1	G5R1_MAIN_12JUL2016	12	7	2016	11:20	38.7 C sunny, windy	32.2	NA	G5R1_MAIN	1	NA	NA	switchgrass	standard fertilization	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R1_MAIN_12JUL2016	6	2017-03-18	6	70	32	80	736	107	2.3	7.8	4.3	5.7	24.4	G5R1_MAIN_12JUL2016	322	1.3709	45.0752	32.88	162.56	1.014	G5R1_MAIN_12JUL2016_LR1	1/30/17	RNA	1	phyllosphere	19.86	Benzyl Chloride 	30	348.66	2.08	526.7	KL Grady	G5R1_MAIN_12JUL2016_LR1_MT		40	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	Y	G5R1_MAIN_12JUL2016_LR1_MT_pilot	N	0	0			/mnt/research/ShadeLab/Sequence/raw_sequence/GLBRC/metatranscriptomes		NA	2016-07-12	1468296000	12.07.16	5	25	32.8	21.7	796	74.61	2.32	3.7	185.6	276.05	375.37	27.9	24.2	2016	NA	NA	NA	NA
74	2	G5R2_MAIN_12JUL2016	12	7	2016	11:57	38.7 C sunny, windy	33.6	NA	G5R2_MAIN	2	NA	NA	switchgrass	standard fertilization	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R2_MAIN_12JUL2016	6	2017-03-18	6.4	71	20	66	700	104	2.6	5.4	10.9	7.5	25.4	G5R2_MAIN_12JUL2016	342	1.3342	45.2078	33.88	162.56	0.82	G5R2_MAIN_12JUL2016_LR1	5/9/17	RNA	1	phyllosphere	8.2	Benzyl Chloride 	30	338.15	2.08	1237.1	KL Grady	G5R2_MAIN_12JUL2016_LR1_MT		40	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	0			/mnt/research/ShadeLab/Sequence/raw_sequence/GLBRC/metatranscriptomes		NA	2016-07-12	1468296000	12.07.16	5	25	32.8	21.7	796	74.61	2.32	3.7	185.6	276.05	375.37	27.9	24.2	2016	NA	NA	NA	NA
75	3	G5R3_MAIN_12JUL2016	12	7	2016	13:08	38.7 C sunny, windy	31.4	NA	G5R3_MAIN	3	NA	NA	switchgrass	standard fertilization	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R3_MAIN_12JUL2016	6	2017-03-18	5.9	69	19	79	820	119	3.1	3.2	4.9	5.8	25.5	G5R3_MAIN_12JUL2016	344	1.447	45.3191	31.32	162.56	0.93	G5R3_MAIN_12JUL2016_LR1	5/9/17	RNA	1	phyllosphere	9.3	Benzyl Chloride 	30	376.92	2.11	1215.9	KL Grady	G5R3_MAIN_12JUL2016_LR1_MT		40	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	0			/mnt/research/ShadeLab/Sequence/raw_sequence/GLBRC/metatranscriptomes		NA	2016-07-12	1468296000	12.07.16	5	25	32.8	21.7	796	74.61	2.32	3.7	185.6	276.05	375.37	27.9	24.2	2016	NA	NA	NA	NA
